Year,Province,Species Group,Species,Quantity (kgs),Value (CAD)
2011,Quebec,Grand total,Grand total,"55,380,764","154,898,295"
2012,Atlantic,Shellfish,Clams / quahaug,"27,631,010","45,327,682"
2012,Atlantic,Shellfish,"Crab, Other","6,470,640","6,473,269"
2012,Atlantic,Shellfish,"Crab, Queen","92,848,899","429,142,851"
2012,Atlantic,Shellfish,Lobster,"74,790,095","662,798,439"
2012,Atlantic,Shellfish,Other shellfish,"8,437,411","14,214,490"
2012,Atlantic,Shellfish,Scallop,"53,306,031","114,263,196"
2012,Atlantic,Shellfish,Sea cucumber,"5,921,758","3,612,728"
2012,Atlantic,Shellfish,Sea urchin,"2,523,824","6,418,240"
2012,Atlantic,Shellfish,Shrimp,"148,874,222","345,193,174"
2012,Atlantic,Shellfish,Total shellfish,"420,803,890","1,627,444,068"
2012,Atlantic,Pelagics,Alewife,"1,946,183","1,557,653"
2012,Atlantic,Pelagics,Capelin,"31,777,381","6,772,973"
2012,Atlantic,Pelagics,Eel,"375,368","2,800,161"
2012,Atlantic,Pelagics,Elvers,"4,191","22,956,191"
2012,Atlantic,Pelagics,Herring,"113,990,121","44,294,557"
2012,Atlantic,Pelagics,Mackerel,"6,468,085","5,528,804"
2012,Atlantic,Pelagics,Other pelagic/finfish,"315,241","550,315"
2012,Atlantic,Pelagics,Salmon,0,0
2012,Atlantic,Pelagics,Shark,"67,466","104,206"
2012,Atlantic,Pelagics,Silversides,"421,594","684,729"
2012,Atlantic,Pelagics,Swordfish,"1,484,765","10,631,496"
2012,Atlantic,Pelagics,Total pelagics,"157,622,002","107,523,592"
2012,Atlantic,Pelagics,Tuna,"771,607","11,642,507"
2012,Atlantic,Other,Marine plants,"13,832,650","1,343,030"
2012,Atlantic,Other,Miscellaneous,"214,749","1,680,281"
2012,Atlantic,Other,Total other,"14,047,399","3,023,311"
2012,Atlantic,Groundfish,Cod,"10,997,905","14,628,904"
2012,Atlantic,Groundfish,Flatfishes,"5,281,057","7,555,102"
2012,Atlantic,Groundfish,Greenland turbot,"13,431,819","58,021,617"
2012,Atlantic,Groundfish,Haddock,"9,329,541","20,079,924"
2012,Atlantic,Groundfish,Hake,"11,613,535","8,710,948"
2012,Atlantic,Groundfish,Halibut,"2,885,441","31,019,488"
2012,Atlantic,Groundfish,Other groundfish,"6,330,732","11,205,250"
2012,Atlantic,Groundfish,Pollock,"5,777,211","6,049,811"
2012,Atlantic,Groundfish,Redfish spp.,"14,975,857","11,835,064"
2012,Atlantic,Groundfish,Skate,"825,906","416,934"
